CCE ID,Description
CCE-5834-7,Automount should be enabled or disabled as appropriate
CCE-5745-5,Source-routed packets should be accepted or rejected as appropriate.
CCE-5587-1,Response to ICMP timestamp requests should be enabled or disabled as appropriate
CCE-5525-1,Response to ICMP timestamp broadcast requests should be enabled or disabled as appropriate
CCE-4930-4,Response to ICMP echo (ping) requests should be enabled or disabled as appropriate
CCE-4901-5,Executable stack should be enabled or disabled as appropriate
CCE-5017-9,The default gateway should be set appropriately.
CCE-5347-0,The inetd service should be enabled or disabled as appropriate.
CCE-5193-8,echo service should be enabled or disabled as appropriate
CCE-5725-7,netstat service should be enabled or disabled as appropriate
CCE-5801-6,rcp service should be enabled or disabled as appropriate
CCE-5506-1,chargen service should be enabled or disabled as appropriate
CCE-5791-9,finger service should be enabled or disabled as appropriate
CCE-5743-0,tftpd service should be enabled or disabled as appropriate
CCE-5773-7,walld service should be enabled or disabled as appropriate
CCE-5461-9,rstatd service should be enabled or disabled as appropriate
CCE-4905-6,sprayd service should be enabled or disabled as appropriate
CCE-5463-5,rusersd service should be enabled or disabled as appropriate
CCE-5542-6,rlogin service should be enabled or disabled as appropriate
CCE-5431-2,rsh service should be enabled or disabled as appropriate
CCE-5780-2,ftp service should be enabled or disabled as appropriate
CCE-5872-7,telnet service should be enabled or disabled as appropriate
CCE-4909-8,DEPRECATED.
CCE-5343-9,inn service should be enabled or disabled as appropriate
CCE-5611-9,uucp service should be enabled or disabled as appropriate
CCE-5598-8,rexec service should be enabled or disabled as appropriate
CCE-5550-9,inetd logging should be enabled or disabled as appropriate
CCE-4911-4,font-service should be enabled or disabled as appropriate
CCE-4926-2,imap2 service should be enabled or disabled as appropriate
CCE-4913-0,pop3 service should be enabled or disabled as appropriate
CCE-5681-2,ident service should be enabled or disabled as appropriate
CCE-5368-6,rexd service should be enabled or disabled as appropriate
CCE-5549-1,daytime service should be enabled or disabled as appropriate
CCE-5144-1,dtspc (cde-spc) service should be enabled or disabled as appropriate
CCE-5223-3,rquotad service should be enabled or disabled as appropriate
CCE-5738-0,cmsd service should be enabled or disabled as appropriate
CCE-5456-9,tooltalk service should be enabled or disabled as appropriate
CCE-4918-9,xdmcp service should be enabled or disabled as appropriate
CCE-5798-4,discard service should be enabled or disabled as appropriate
CCE-4923-9,DEPRECATED.
CCE-5917-0,vino-server service should be enabled or disabled as appropriate
CCE-4934-6,The bind service should be enabled or disabled as appropriate.
CCE-5535-0,The version string reported by the bind service should be configured appropriately.
CCE-5117-7,SSH Protocol v1 should be enabled or disabled as appropriate
CCE-5690-3,TCP_WRAPPERS should be enabled or disabled as appropriate
CCE-5852-9,SNMP version 1 should be enabled or disabled as appropriate
CCE-5068-2,The nfsd service should be enabled or disabled as appropriate
CCE-5569-9,The mountd service should be enabled or disabled as appropriate
CCE-5806-5,The statd service should be enabled or disabled as appropriate
CCE-5882-6,The lockd service should be enabled or disabled as appropriate
CCE-5414-8,NFS should be configured to respond or not as appropriate to client requests that do not include a user id .
CCE-5348-8,NFS should be configured to respond or not as appropriate to client requests that do not originate from a privileged port.
CCE-5511-1,NFS server support for the AUTH_NONE authentication mechanism should be enabled or disabled as appropriate.
CCE-5480-9,NFS server support for the AUTH_UNIX authentication mechanism should be enabled or disabled as appropriate.
CCE-4957-7,NFS server support for the AUTH_DES authentication mechanism should be enabled or disabled as appropriate.
CCE-4958-5,NFS server support for the AUTH_KERB authentication mechanism should be enabled or disabled as appropriate.
CCE-5922-0,The read-only (ro) option should be enabled or disabled as appropriate for all NFS exports.
CCE-5790-1,The nosuid option should be enabled or disabled for all NFS mounts as appropriate
CCE-5189-6,The nosgid option should be enabled or disabled for all NFS mounts as appropriate
CCE-5876-8,Sendmail should be enabled or disabled as appropriate
CCE-4959-3,The sendmail banner should be set appropriately.
CCE-5115-1,The decode sendmail alias should be enabled or disabled as appropriate.
CCE-5445-2,.forward files should be allowed or disallowed as appropriate for all users
CCE-4960-1,Programs executed through the aliases file should be owned by an appropriate user
CCE-5802-4,Programs executed through the aliases file should reside a directory with an appropriate user owner
CCE-5212-6,Sendmail vrfy command should be allowed or not as appropriate
CCE-5291-0,Sendmail expn command should be allowed or not as appropriate
CCE-5741-4,Sendmail should be configured with an appropriate logging level
CCE-4967-6,The sendmail help command should be allowed or not as appropriate
CCE-5783-6,NIS should be enabled or disabled as appropriate
CCE-4975-9,NIS+ server should operate at an appropriate security level
CCE-5138-3,X-Windows should be enabled or disabled as appropriate
CCE-5711-7,Authorized X-clients should be listed or not in the X*.hosts file as appropriate
CCE-4984-1,X-Windows should write .Xauthority files to users' home directories or not as appropriate
CCE-5975-8,X11 forwarding via SSH should be enabled or disabled as appropriate.
CCE-5931-1,Samba should be enabled or disabled as appropriate
CCE-4994-0,Samba 'hosts allow' option should be configured with an appropriate set of networks
CCE-5923-8,Samba 'security option' option should be set as appropriate
CCE-5939-4,Samba 'encrypt' passwords option should be set as appropriate
CCE-5891-7,Samba 'smb passwd file' option should be set to an appropriate password file or no password file
CCE-5234-0,IPv6 should be enabled or disabled as appropriate
CCE-5767-9,The "at" utility directory permissions should be set as appropriate
CCE-5846-1,at.allow file permissions should be set appropriately
CCE-5991-5,at.deny file permissions should be set appropriately
CCE-5705-9,Cron directory permissions should be set appropriately
CCE-5678-8,Crontab directory permissions should be set appropriately
CCE-5942-8,Cron log file permissions should be set appropriately
CCE-5770-3,cron.allow file permissions should be set appropriately
CCE-5280-3,cron.deny file permissions should be set appropriately
CCE-5896-6,Crontab file permissions should be set appropriately
CCE-5474-2,/dev/kmem file permissions should be set appropriately
CCE-5363-7,/dev/mem file permissions should be set appropriately
CCE-5566-5,/dev/null file permissions should be set appropriately
CCE-5851-1,resolv.conf file permissions should be set appropriately
CCE-5821-4,/etc/named.conf file permissions should be set appropriately
CCE-5755-4,File permissions should be set appropriately for all user home directories.
CCE-5807-3,/etc/exports file permissions should be set appropriately
CCE-5759-6,/usr/bin/at file permissions should be set appropriately
CCE-5979-0,/usr/bin/rdist file permissions should be set appropriately
CCE-5228-2,/usr/sbin/sync file permissions should be set appropriately
CCE-5951-9,Superuser account home directories' permissions should be set appropriately
CCE-5981-6,/etc/samba/smb.conf file permissions should be set appropriately
CCE-5668-9,smbpassword executable permissions should be set appropriately
CCE-5010-4,Aliases file permissions should be set appropriately
CCE-5666-3,File permissions should be set as appropriate for the log file configured to capture critical sendmail messages.
CCE-5012-0,All files executed through /etc/aliases file entries should have file permissions set appropriately
CCE-5796-8,/bin/csh file permissions should be set appropriately
CCE-5747-1,/bin/jsh file permissions should be set appropriately
CCE-5849-5,/bin/ksh file permissions should be set appropriately
CCE-5893-3,The /bin/rsh file should exist or not as appropriate
CCE-5734-9,/bin/sh file permissions should be set appropriately
CCE-5862-8,/bin/bash file permissions should be set appropriately
CCE-5954-3,/sbin/csh file permissions should be set appropriately
CCE-5027-8,/sbin/jsh file permissions should be set appropriately
CCE-5206-8,/sbin/ksh file permissions should be set appropriately
CCE-5907-1,The /sbin/rsh file should exist or not as appropriate
CCE-5040-1,/sbin/sh file permissions should be set appropriately
CCE-5049-2,/sbin/bash file permissions should be set appropriately
CCE-5056-7,/usr/bin/csh file permissions should be set appropriately
CCE-6031-9,/usr/bin/jsh file permissions should be set appropriately
CCE-6004-6,/usr/bin/ksh file permissions should be set appropriately
CCE-5974-1,The /usr/bin/rsh file should exist or not as appropriate
CCE-5863-6,/usr/bin/sh file permissions should be set appropriately
CCE-5815-6,/usr/bin/bash file permissions should be set appropriately
CCE-5955-0,snmpd.conf file permissions should be set appropriately
CCE-6052-5,/tmp file permissions should be set appropriately
CCE-6021-0,/usr/tmp file permissions should be set appropriately
CCE-5272-0,traceroute executable file permissions should be set appropriately
CCE-5884-2,.Xauthority file permissions should be set appropriately for all users.
CCE-6023-6,/etc/aliases file permissions should be set appropriately
CCE-5349-6,/etc/cron.d/at.allow file permissions should be set appropriately
CCE-6050-9,/etc/cron.d/cron.allow file permissions should be set appropriately
CCE-5833-9,/etc/csh file permissions should be set appropriately
CCE-5803-2,/etc/default/* file permissions should be set appropriately
CCE-5820-6,/etc/default/login file permissions should be set appropriately
CCE-5397-5,The /etc/ftpusers file should exist or not as appropriate
CCE-5226-6,/etc/host.lpd file permissions should be set appropriately
CCE-5903-0,/etc/hostname* file permissions should be set appropriately
CCE-5970-9,/etc/hosts file permissions should be set appropriately
CCE-5930-3,/etc/inetd.conf file permissions should be set appropriately
CCE-5698-6,/etc/issue file permissions should be set appropriately
CCE-5641-6,/etc/jsh file permissions should be set appropriately
CCE-5909-7,/etc/ksh file permissions should be set appropriately
CCE-5985-7,/etc/mail/aliases file permissions should be set appropriately
CCE-5350-4,/etc/motd file permissions should be set appropriately
CCE-5988-1,/etc/netconfig file permissions should be set appropriately
CCE-5817-2,/etc/notrouter file permissions should be set appropriately
CCE-5231-6,/etc/pam.conf file permissions should be set appropriately
CCE-5323-1,/etc/passwd file permissions should be set appropriately
CCE-5526-9,The /etc/rsh file should exist or not as appropriate
CCE-5631-7,/etc/security file permissions should be set appropriately
CCE-5728-1,/etc/services file permissions should be set appropriately
CCE-5512-9,/etc/sh file permissions should be set appropriately
CCE-5074-0,/etc/shadow file permissions should be set appropriately
CCE-5808-1,/etc/syslog.conf file permissions should be set appropriately
CCE-5075-7,DEPRECATED.
CCE-5932-9,/etc/fstab file permissions should be set appropriately
CCE-5825-5,DEPRECATED.
CCE-5279-5,/var/adm/loginlog file permissions should be set appropriately
CCE-5984-0,/var/adm/messages file permissions should be set appropriately
CCE-5656-4,/var/adm/sulog file permissions should be set appropriately
CCE-5736-4,/var/adm/utmp file permissions should be set appropriately
CCE-6062-4,/var/adm/wtmp file permissions should be set appropriately
CCE-5453-6,/var/adm/authlog file permissions should be set appropriately
CCE-6048-3,/var/adm/syslog file permissions should be set appropriately
CCE-5832-1,/var/mail file permissions should be set appropriately
CCE-6017-8,/var/tmp file permissions should be set appropriately
CCE-5986-5,/usr/lib/pt_chmod file permissions should be set appropriately
CCE-5875-0,/usr/lib/embedded_us file permissions should be set appropriately
CCE-5977-4,/usr/lib/sendmail file permissions should be set appropriately
CCE-5627-5,/usr/kerberos/bin/rsh file permissions should be set appropriately
CCE-5455-1,/var/spool/mail file permissions should be set appropriately
CCE-5077-3,smbpassword file permissions should be set appropriately
CCE-5695-2,At directory should be owned by an appropriate user
CCE-5646-5,At directory should be owned by an appropriate group
CCE-5161-5,at.allow file should be owned by an appropriate user
CCE-5254-8,at.allow file should be owned by an appropriate group
CCE-5853-7,at.deny file should be owned by an appropriate user
CCE-5632-5,at.deny file should be owned by an appropriate group
CCE-5319-9,Cron directories should be owned by an appropriate user
CCE-5412-2,Cron directories should be owned by an appropriate group
CCE-5082-3,Crontab directories should be owned by an appropriate user
CCE-5754-7,Crontab directories should be owned by an appropriate group
CCE-6022-8,cron.allow file should be owned by an appropriate user
CCE-5868-5,cron.allow file should be owned by an appropriate group
CCE-5961-8,cron.deny should be owned by an appropriate user
CCE-5837-0,cron.deny data should be owned by an appropriate group
CCE-5929-5,crontab files should be owned by an appropriate user
CCE-5085-6,crontab files should be owned by an appropriate group
CCE-5919-6,/etc/resolv.conf file should be owned by an appropriate user
CCE-5888-3,/etc/resolv.conf file should be owned by an appropriate group
CCE-5941-0,/etc/named.boot file should be owned by an appropriate user
CCE-5910-5,/etc/named.boot file should be owned by an appropriate group
CCE-5822-2,/etc/named.conf file should be owned by an appropriate user
CCE-5663-0,/etc/named.conf file should be owned by an appropriate group
CCE-5086-4,Each user home directory should be owned by an appropriate user.
CCE-6007-9,Each user home directory should be owned by an appropriate group.
CCE-5088-0,inetd.conf file should be owned by an appropriate user
CCE-5732-3,inetd.conf file should be owned by an appropriate group
CCE-5326-4,/etc/exports should be owned by an appropriate user
CCE-5296-9,/etc/exports should be owned by an appropriate group
CCE-5283-7,Exported files and directories should be owned by an appropriate user
CCE-5428-8,Exported files and directories should be owned by an appropriate group
CCE-5626-7,/etc/services file should be owned by an appropriate user
CCE-5957-6,/etc/services file should be owned by an appropriate group
CCE-5740-6,/etc/notrouter file should be owned by an appropriate user
CCE-5090-6,/etc/notrouter file should be owned by an appropriate group
CCE-6086-3,/etc/samba/smb.conf file should be owned by an appropriate user
CCE-6055-8,/etc/samba/smb.conf file should be owned by an appropriate group
CCE-6024-4,smbpasswd executable should be owned by an appropriate user
CCE-5839-6,smbpasswd executable should be owned by an appropriate group
CCE-5091-4,aliases file should be owned by an appropriate user
CCE-5497-3,aliases file should be owned by an appropriate group
CCE-6029-3,The log file configured to capture critical sendmail messages should be owned by the appropriate user.
CCE-5116-9,The log file configured to capture critical sendmail messages should be owned by the appropriate group.
CCE-5154-0,Programs executed through aliases file entries should be owned by an appropriate user
CCE-6013-7,Programs executed through aliases file entries should be owned by an appropriate group
CCE-5999-8,Shell files should be owned by an appropriate user
CCE-6003-8,Shell files should be owned by an appropriate group
CCE-6096-2,snmpd.conf file should be owned by an appropriate user
CCE-6107-7,snmpd.conf file should be owned by an appropriate group
CCE-5171-4,/etc/syslog.conf file should be owned by an appropriate user
CCE-5688-7,/etc/syslog.conf file should be owned by an appropriate group
CCE-5185-4,traceroute executable should be owned by an appropriate user
CCE-5671-3,traceroute executable should be owned by an appropriate group
CCE-5706-7,/usr/lib/sendmail file should be owned by an appropriate user
CCE-6177-0,/usr/lib/sendmail file should be owned by an appropriate group
CCE-5860-2,/etc/passwd file should be owned by an appropriate user
CCE-6146-5,/etc/passwd file should be owned by an appropriate group
CCE-5992-3,/etc/shadow file should be owned by an appropriate user
CCE-5615-0,/etc/shadow file should be owned by an appropriate group
CCE-5580-6,smbpasswd file should be owned by an appropriate user
CCE-5191-2,smbpasswd file should be owned by an appropriate group
CCE-6088-9,Environmental variable PATH for superuser accounts should or should not contain world-writable files as appropriate
CCE-6044-2,Environmental variable PATH for superuser accounts should not contain the current directory as the first or last entry
CCE-5195-3,The current working directory should or should not be added to the environmental variable PATH by global initialization files as appropriate
CCE-6012-9,The current working directory should or should not be added to the environmental variable PATH by local initialization files as appropriate
CCE-5361-1,DEPRECATED.
CCE-5204-3,The current working directory should or should not be added to the environmental variable PATH by run control scripts as appropriate
CCE-6087-1,The system umask should be set appropriately
CCE-6056-6,The user umask should be set appropriately
CCE-5816-4,The cron.allow file should be configured with the set of users permitted to use the cron facility as appropriate.
CCE-5785-1,The cron.deny file should be configured with the set of users not permitted to use the cron facility as appropriate.
CCE-5661-4,Cron logging should be enabled or disabled as appropriate
CCE-5877-6,The at.allow file should be configured with the set of users permitted to use the at facility as appropriate.
CCE-5600-2,The at.deny file should be configured with the set of users not permitted to use the at facility as appropriate.
CCE-5489-0,/etc/security/audit/config file permissions should be set appropriately
CCE-6066-5,/etc/security/audit/events file permissions should be set appropriately
CCE-6084-8,/etc/security/audit/objects file permissions should be set appropriately
CCE-5819-8,/usr/lib/trcload file permissions should be set appropriately
CCE-5648-1,/usr/lib/semutil file permissions should be set appropriately
CCE-5205-0,/etc/security/audit/config file should be owned by an appropriate user
CCE-5548-3,/etc/security/audit/events file should be owned by an appropriate user
CCE-6085-5,/etc/security/audit/objects file should be owned by an appropriate user
CCE-5926-1,/usr/lib/trcload file should be owned by an appropriate user
CCE-5224-1,/usr/lib/semutil file should be owned by an appropriate user
CCE-6037-6,/etc/security/audit/config file should be owned by an appropriate group
CCE-6011-1,/etc/security/audit/events file should be owned by an appropriate group
CCE-5980-8,/etc/security/audit/objects file should be owned by an appropriate group
CCE-6103-6,/usr/lib/trcload file should be owned by an appropriate group
CCE-5945-1,/usr/lib/semutil file should be owned by an appropriate group
CCE-6079-8,The authentication mechanism (SYSTEM attribute) should be set appropriately for each user
CCE-6158-0,Trusted Computing Base should be installed or not as appropriate
CCE-5484-1,Auditing should be enabled or disabled as appropriate in runcontrol scripts
CCE-5378-5,BIN mode auditing should be enabled or disabled as appropriate
CCE-5235-7,Accounts should be present or absent from the audit config file as appropriate
CCE-5913-9,System logons should be audited or not as appropriate
CCE-5993-1,System logoffs should be audited or not as appropriate
CCE-5693-7,Password changes should be audited or not as appropriate
CCE-6230-7,su usage should be audited or not as appropriate
CCE-5697-8,Creation/modification of superuser groups should be audited or not as appropriate
CCE-6197-8,Startup/shutdown of audit functions should be audited or not as appropriate
CCE-5889-1,Certificate revocation should be audited or not as appropriate
CCE-6109-3,Remote access from outside the corporate network should be audited or not as appropriate
CCE-5242-3,Use of chown command should be audited or not as appropriate
CCE-6213-3,File permissions of the rcp binary should be set correctly
CCE-5680-4,File permissions of the rlogin binary should be set correctly
CCE-5591-3,File permissions of the rlogind binary should be set correctly
CCE-5543-4,File permissions of the rsh binary should be set correctly
CCE-5934-5,File permissions of the rshd binary should be set correctly
CCE-6009-5,File permissions of the tftp binary should be set correctly
CCE-5996-4,File permissions of the tftpd binary should be set correctly
CCE-6135-8,Global initialization files should allow or deny write access to the terminal as appropriate
CCE-5963-4,Netrc should be configured with an appropriate set of services
CCE-6104-4,Change of file ownership should be audited or not as appropriate
CCE-5324-9,Use of chmod command should be audited or not as appropriate
CCE-6170-5,Certificate creation should be audited or not as appropriate
CCE-5243-1,Certificate deletion should be audited or not as appropriate
CCE-6016-0,Certificate retrieval should be audited or not as appropriate
CCE-6174-7,Startup or shutdown of the audit process should be audited or not as appropriate
CCE-5245-6,Use of chgrp should be audited or not as appropriate
CCE-5253-0,Use of mkgroup should be audited or not as appropriate
CCE-6189-5,Use of rmgroup should be audited or not as appropriate
CCE-6035-0,Use of change user functions should be audited or not as appropriate
CCE-6100-2,Terminal logoffs should be audited or not as appropriate
CCE-6157-2,Exit function usage should be audited or not as appropriate
CCE-6156-4,Hard core dump size limits should be set appropriately
CCE-5751-3,Remote root logins via SSH should be allowed or not as appropriate.
CCE-27905-9,Apache's configuration directory should be owned by the appropriate group.
CCE-27713-7,Apache's configuration directory should be owned by the appropriate user.
CCE-27582-6,Apache's demo CGI printenv.pl should be available or removed as appropriate
CCE-27923-2,testcgi should be installed as appropriate.
CCE-27885-3,The "FollowSymLinks" setting of the DocumentRoot should be enabled or disabled as appropriate.
CCE-27991-9,The "IncludesNOEXEC" setting of the DocumentRoot should be enabled or disabled as appropriate.
CCE-27484-5,The "Indexes" setting of the DocumentRoot should be enabled or disabled as appropriate.
CCE-27784-8,The Allow Directive for the OS root should be configured appropriately
CCE-27505-7,The Allow directive for the specified Directory directive should be configured appropriately.
CCE-27969-5,The Apache "KeepAlive" directive should be configured appropriately.
CCE-27797-0,The Apache "KeepAliveTimeout" directive should be configured appropriately.
CCE-28018-0,The Apache "LimitRequestBody" directive should be configured appropriately.
CCE-27962-0,The Apache "LimitRequestFields" directive should be configured appropriately
CCE-27025-6,The Apache "LimitRequestFieldSizeBody" directive should be configured appropriately.
CCE-28008-1,The Apache "LimitRequestline" directive should be configured appropriatley.
CCE-27805-1,The Apache "LogLevel" directive should be configured appropriately.
CCE-27264-1,The Apache "MaxClients" directive should be configured appropriately.
CCE-27863-0,The Apache "ServerTokens" directive should be configured appropriately.
CCE-27790-5,The Apache "Timeout" directive should be configured appropriately.
CCE-27855-6,The Apache access log file data should be configured to contain the appropriate data elements.
CCE-27823-4,The Apache AllowOverride Directive should be configured appropriately for operating system root directories.
CCE-27701-2,The Apache AllowOverride directive should be configured appropriately for web site root directories.
CCE-27960-4,The Apache ErrorDocument directive should be set correctly for HTTP 400 errors.
CCE-27939-8,The Apache Group directive should be set correctly.
CCE-27324-3,The Apache runtime rewriting engine should be enabled or disabled as appropriate.
CCE-27896-0,The Apache ServerSignature directive should be set appropriately.
CCE-27739-2,The Apache system logging should be configured appropriately.
CCE-27983-6,The Apache user account should be allowed root privileges as appropriate.
CCE-27942-2,The Apache User directive should be set correctly.
CCE-27029-8,The ApacheErrorDocument directive should be set correctly for HTTP 401 errors.
CCE-27867-1,The ApacheErrorDocument directive should be set correctly for HTTP 403 errors.
CCE-27951-3,The ApacheErrorDocument directive should be set correctly for HTTP 404 errors.
CCE-27963-8,The ApacheErrorDocument directive should be set correctly for HTTP 405 errors.
CCE-28026-3,The ApacheErrorDocument directive should be set correctly for HTTP 500 errors.
CCE-27321-9,The Deny Directive for the OS root should be configured appropriately
CCE-27592-5,The Deny directive for the specified Directory directive should be configured appropriately.
CCE-27755-8,The group membership of any Apache files in /var/log/httpd/ should be set correctly.
CCE-27958-8,The group membership of the Apache /etc/httpd/conf.d file should be set correctly.
CCE-27804-4,The group membership of the Apache /etc/httpd/conf/passwd file should be set correctly.
CCE-27988-5,The group membership of the Apache /usr/sbin/apachectl file should be set correctly.
CCE-27832-5,The group membership of the Apache /usr/sbin/httpd file should be set correctly. 
CCE-27770-7,The group membership of the Apache /var/www/html file should be set correctly.
CCE-27475-3,The group membership of the Apache user account should be set correctly.
CCE-28028-9,The ownership of log files in Apache /var/log/httpd/ should be set correctly.
CCE-27970-3,The ownership of the Apache /etc/httpd/conf.d file should be set correctly.
CCE-27036-3,The ownership of the Apache /etc/httpd/conf/passwd file should be set correctly.
CCE-27136-1,The ownership of the Apache /usr/sbin/apachectl file should be set correctly.
CCE-27932-3,The ownership of the Apache /usr/sbin/httpd file should be set correctly. 
CCE-27561-0,The ownership of the Apache /var/www/html file should be set correctly.
CCE-28004-0,The path for Apache sites error log files should be configured appropriately.
CCE-27956-2,The permissions for the Apache /etc/httpd/conf.d file should be set correctly.
CCE-27929-9,The permissions for the Apache /etc/httpd/conf/passwd file should be set correctly.
CCE-27632-9,The permissions for the Apache /usr/sbin/apachectl file should be set correctly.
CCE-27902-6,The permissions for the Apache /usr/sbin/httpd file should be set correctly. 
CCE-27997-6,The permissions for the Apache/var/www/html file should be set correctly.
CCE-27537-0,The permissions of any Apache files in /var/log/httpd/ should be set correctly.
CCE-28019-8,The Unix permissions of Apache's configuration directory should be configred appropriately
CCE-27874-7,The"Includes" setting of the DocumentRoot should be enabled or disabled as appropriate. 
CCE-27656-8,The"MultiViews" setting of the DocumentRoot should be enabled or disabled as appropriate.
CCE-27071-0,The Order directive for the OS root should be configured appropriately.
CCE-27987-7,Permitted HTTP request methods should be configured appropriately.
CCE-27489-4,Access to Apache's httpd.conf file should be configured appropriately.
CCE-28009-9,The Windows permissions for all files specified by CustomLog directives should be configured appropriately
CCE-27977-8,The Windows permissions for all files specified by ErrorLog directives should be configured appropriately
CCE-27802-8,The location of the Apache htpasswd file should be set correctly.
CCE-27803-6,The Apache Server Administrator email address should be set correctly.
CCE-27924-0,The Apache user account should be locked or unlocked as appropriate.
CCE-28027-1,File permissions for httpd.conf should be set correctly.
CCE-27147-8,The httpd.conf file should be owned by the appropriate user.
CCE-28109-7,The httpd.conf file should be owned by the appropriate group.
CCE-27949-7,The Unix permissions of Apache's htpasswd file should be configured appropriately.
CCE-27502-4,The htpasswd should be owned by the appropriate user.
CCE-28001-6,The htpasswd file should be owned by the appropriate group.
CCE-28139-4,The Apache "StartServers" directive should be configured appropriately.
CCE-27654-3,The Apache "MinSpareServers" directive should be configured appropriately.
CCE-27916-6,The Apache "MaxSpareServers" directive should be configured appropriately.
CCE-27785-5,The "ExecCGI" setting of the DocumentRoot should be enabled or disabled as appropriate.
CCE-28125-3,The Order directive for all DocumentRoot directives should be configured appropriately.
CCE-28116-2,The Order directive for the specified Directory directive should be configured appropriately.
CCE-28025-5,The Apache Action directive shoud be configured appropriately.
CCE-28092-5,The Apache AddHandler directive should be configured appropriately.
CCE-28000-8,Anonymous sharing of Apache's web content directories with nfs should be configured appropriately.
CCE-27251-8,Anonymous sharing of Apache's web content directories with smb should be configured appropriately.
CCE-28090-9,The Apache AllowOverride directive should be configured appropriately for web site root directories.
CCE-27660-0,The Apachce "MaxKeepAliveRequests" directive should be configured appropriately.
CCE-28122-0,All readable Apache web document directories should have their default webpage configured appropriately. 
CCE-27490-2,File permissions for httpd.conf should be set correctly.
CCE-28118-8,The httpd.conf file should be owned by the appropriate user.
CCE-27952-1,The httpd.conf file should be owned by the appropriate group.
CCE-27955-4,Apache's log_config_module should be enabled or disabled as appropriate.
CCE-27967-9,The file permissions for all files specified by CustomLog directives should be configured appropriately
CCE-27906-7,All files specified by CustomLog directives should be owned by the appropriate user
CCE-27976-0,All files specified by CustomLog directives should be owned by the appropriate group
CCE-28059-4,The Unix permissions for all files specified by ErrorLog directives should be configured appropriately
CCE-27888-7,All files specified by ErrorLog directives should be owned by the appropriate user
CCE-27889-5,All files specified by ErrorLog directives should be owned by the appropriate group
CCE-27795-4,The Unix permissions of Apache's htpasswd file should be configured appropriately.
CCE-28071-9,The htpasswd should be owned by the appropriate user.
CCE-27981-0,The htpasswd file should be owned by the appropriate group.
CCE-28013-1,The Unix permissions for all directories specified by ScriptAlias directives should be configured appropriately.
CCE-28141-0,All directories specified by ScriptAlias directives should be owned by the appropriate user.
CCE-28020-6,All directories specified by ScriptAlias directives should be owned by the appropriate group.
CCE-28084-2,The Unix permissions for all directories specified by ScriptAliasMatch directives should be configured appropriately.
CCE-27611-3,All directories specified by ScriptAliasMatch directives should be owned by the appropriate user.
CCE-28146-9,All directories specified by ScriptAliasMatch directives should be owned by the appropriate group.
CCE-27811-9,The Unix permissions for all directories specified by DocumentRoot directives should be configured appropriately.
CCE-28107-1,All directories specified by DocumentRoot directives should be owned by the appropriate user.
CCE-27499-3,All directories specified by DocumentRoot directives should be owned by the appropriate group.
CCE-27620-4,The Unix permissions for all directories specified by Alias directives should be configured appropriately.
CCE-27933-1,All directories specified by Alias directives should be owned by the appropriate user.
CCE-28117-0,All directories specified by Alias directives should be owned by the appropriate group.
CCE-27957-0,The Unix permissions for all directories specified by ServerRoot directives should be configred appropriately
CCE-27871-3,All directories specified by ServerRoot directives should be owned by the appropriate user.
CCE-27647-7,All directories specified by ServerRoot directives should be owned by the appropriate group.
CCE-28055-2,The Unix permissions of Apache's configuration directory should be configred appropriately
